word,type,definition
desert,noun,a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.
desert,verb,to leave somebody without help or support
deserve,verb,"to do something or show qualities that mean a particular reaction, reward or punishment is appropriate"
design,noun,"the general arrangement of the different parts of something that is made, such as a building, book, machine, etc."
design,verb,"to decide how something will look, work, etc., by drawing plans, making computer models, etc."
designate,verb,to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way
designer,noun,"a person whose job is to decide how things such as clothes, furniture, tools, etc. will look or work by making drawings, plans or patterns"
desirable,adjective,that you would like to have or do; worth having or doing
desire,noun,a strong wish to have or do something
desire,verb,to want something; to wish for something
desk,noun,"a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc."
desktop,noun,a screen on a computer that shows the icons of programs and files that can be used
desperate,adjective,feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others
desperately,adverb,in a way that shows you have little hope and are ready to do anything without worrying about danger to yourself or others
despite,preposition,used to show that something happened or is true although something else might have happened to prevent it
destination,noun,a place to which somebody/something is going or being sent
destroy,verb,"to damage something so badly that it no longer exists, works, etc."
destruction,noun,the act of destroying something; the process of being destroyed
destructive,adjective,causing destruction or damage
detail,noun,a small individual fact or item; a less important fact or item
detail,verb,to give a list of facts or all the available information about something
detailed,adjective,giving many details and a lot of information; paying great attention to details
detain,verb,"to keep somebody in an official place, such as a police station, a prison or a hospital, and prevent them from leaving"
detect,verb,"to discover or notice something, especially something that is not easy to see, hear, etc."
detection,noun,"the process of discovering or noticing something, especially something that is not easy to see, hear, etc.; the fact of being discovered or noticed "
detective,noun,"a person, especially a police officer, whose job is to investigate crimes and catch criminals"
detention,noun,"the state of being kept in a place, especially a prison, and prevented from leaving"
deteriorate,verb,to become worse
determination,noun,the quality that makes you continue trying to do something even when this is difficult
determine,verb,to discover the facts about something; to calculate something exactly
determined,adjective,having made a definite decision to do something and not letting anyone prevent you
devastate,verb,to completely destroy a place or an area
develop,verb,"to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this"
development,noun,"the steady growth of something so that it becomes more advanced, stronger, etc."
device,noun,an object or a piece of equipment that has been designed to do a particular job
devil,noun,the most powerful evil being
devise,verb,to invent something new or a new way of doing something
devote,verb,
diagnose,verb,to say exactly what an illness or the cause of a problem is
diagnosis,noun,the act of discovering or identifying the exact cause of an illness or a problem
diagram,noun,"a simple drawing using lines to explain where something is, how something works, etc."
dialogue,noun,"a conversation in a book, play or film or in language teaching materials"
diamond,noun,"a clear precious stone of pure carbon, the hardest substance known. Diamonds are used in jewellery and also in industry, especially for cutting glass."
diary,noun,"a book in which you can write down the experiences you have each day, your private thoughts, etc."
dictate,verb,"to tell somebody what to do, especially in an annoying way"
dictator,noun,"a political leader who has complete power over a country, especially one who has gained it using military force"
dictionary,noun,"a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language"
die,verb,to stop living
diet,noun,the food and drink that you eat and drink regularly
differ,verb,to be different from somebody/something
difference,noun,the way in which two people or things are not like each other; the way in which somebody/something has changed
different,adjective,not the same as somebody/something; not like somebody/something else
differentiate,verb,to recognize or show that two things are not the same
differently,adverb,in a different way from somebody/something
difficult,adjective,not easy; needing effort or skill to do or to understand
difficulty,noun,a problem; a thing or situation that causes problems
dig,verb,"to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine"
digital,adjective,"using a system of receiving and sending information as a series of the numbers one and zero, showing that an electronic signal is there or is not there"
dignity,noun,a calm and serious manner that deserves respect
dilemma,noun,"a situation that makes problems, often one in which you have to make a very difficult choice between things of equal importance"
dimension,noun,"a measurement in space, for example how high, wide or long something is"
diminish,verb,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc."
dinner,noun,"the main meal of the day, eaten either in the middle of the day or in the evening"
dip,verb,to put something quickly into a liquid and take it out again
diplomat,noun,"a person whose job is to represent his or her country in a foreign country, for example, in an embassy"
diplomatic,adjective,connected with managing relations between countries (= diplomacy)
direct,adjective,going in the straightest line between two places without stopping or changing direction
direct,adverb,without stopping or changing direction or vehicle
direct,verb,to control or be in charge of somebody/something
direction,noun,the general position a person or thing moves or points towards
directly,adverb,without stopping or changing direction
director,noun,one of a group of senior managers who run a company
directory,noun,"a book or electronic resource containing lists of information, usually in alphabetical order, for example people’s phone numbers or the names and addresses of businesses in a particular area"
dirt,noun,"any substance that makes something dirty, for example dust, soil or mud"
dirty,adjective,not clean
disability,noun,a physical or mental condition that makes it difficult for somebody to do some things that most other people can do
disabled,adjective,having a condition that makes it difficult for you to do some things that most other people can do
disadvantage,noun,something that causes problems and tends to stop somebody/something from succeeding or making progress
disagree,verb,"if two people disagree or one person disagrees with another about something, they have a different opinion about it"
disagreement,noun,a situation where people have different opinions about something and often argue
disappear,verb,to become impossible to see
disappoint,verb,to make somebody feel sad because something that they hope for or expect to happen does not happen or is not as good as they hoped
disappointed,adjective,"upset because something you hoped for has not happened or been as good, successful, etc. as you expected"
disappointing,adjective,"not as good, successful, etc. as you had hoped; making you feel disappointed"
disappointment,noun,"the feeling of being sad because something has not happened or been as good, successful, etc. as you expected or hoped"
disaster,noun,"an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage"
disastrous,adjective,"very bad, harmful or unsuccessful"
disc,noun,a thin flat round object
discard,verb,to get rid of something that you no longer want or need
discharge,verb,to give somebody official permission to leave the police or the armed forces; to make somebody leave the police or the armed forces
discipline,noun,the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training 
disclose,verb,"to give somebody information about something, especially something that was previously secret"
disclosure,noun,the act of making something known or public that was previously secret or private
discount,noun,an amount of money that is taken off the usual cost of something
discount,verb,to take an amount of money off the usual cost of something; to sell something at a discount
discourage,verb,"to try to prevent something or to prevent somebody from doing something, especially by making it difficult to do or by showing that you do not approve of it"
discourse,noun,a long and serious treatment or discussion of a subject in speech or writing
discover,verb,to be the first person to become aware that a particular place or thing exists
discovery,noun,"an act or the process of finding somebody/something, or learning about something that was not known about before"
discretion,noun,the freedom or power to decide what should be done in a particular situation
discrimination,noun,the practice of treating somebody or a particular group in society less fairly than others
discuss,verb,"to talk about something with somebody, especially in order to decide something"
discussion,noun,a conversation about somebody/something; the process of discussing somebody/something 
disease,noun,"an illness affecting humans, animals or plants, often caused by infection"
dish,noun,a flat shallow container for cooking food in or serving it from
dishonest,adjective,not honest; intending to trick people
disk,noun,a thin flat round object
dislike,noun,a feeling of not liking somebody/something
dislike,verb,to not like somebody/something
dismiss,verb,to decide that somebody/something is not important and not worth thinking or talking about
dismissal,noun,the act of dismissing somebody from their job; an example of this
disorder,noun,a condition or illness that causes problems with the way part of the body or brain works
displace,verb,to take the place of somebody/something
display,noun,an arrangement of things in a public place to inform or entertain people or advertise something for sale
display,verb,to put something in a place where people can see it easily; to show something to people
disposal,noun,the act of getting rid of something
dispose,verb,to arrange things or people in a particular way or position
dispute,noun,"an argument between two people, groups or countries; discussion about a subject on which people disagree"
dispute,verb,to question whether something is true or legally or officially acceptable
disrupt,verb,to make it difficult for something to continue in the normal way
disruption,noun,a situation in which it is difficult for something to continue in the normal way; the act of stopping something from continuing in the normal way
dissolve,verb,to mix with a liquid and become part of it
distance,noun,the amount of space between two places or things
distant,adjective,far away in space or time
distinct,adjective,"easily or clearly heard, seen, felt, etc."
distinction,noun,a clear difference or contrast especially between people or things that are similar or related
distinctive,adjective,having a quality or characteristic that makes something different and easily noticed
distinguish,verb,to recognize the difference between two people or things
distort,verb,"to change the shape, appearance or sound of something so that it is strange or not clear"
distract,verb,to take somebody’s attention away from what they are trying to do
distress,noun,a feeling of great worry or unhappiness; great mental pain
distress,verb,to make somebody feel very worried or unhappy
distribute,verb,to give things to a large number of people; to share something between a number of people
distribution,noun,the way that something is spread or exists over a particular area or among a particular group of people
district,noun,"an area of a country or town, especially one that has particular features"
disturb,verb,"to interrupt somebody when they are trying to work, sleep, etc."
disturbing,adjective,making you feel anxious and upset or shocked
dive,noun,a jump into deep water with your head first and your arms in front of you
dive,verb,to jump into water with your head and arms going in first
diverse,adjective,very different from each other and of various kinds
diversity,noun,a range of many people or things that are very different from each other
divert,verb,to make somebody/something change direction
divide,noun,a difference between two groups of people or two things that separates them from each other
divide,verb,to separate into parts; to make something separate into parts
divine,adjective,coming from or connected with God or a god
division,noun,the process or result of dividing into separate parts; the process or result of dividing something or sharing it out
divorce,noun,the legal ending of a marriage
divorce,verb,to end your marriage to somebody legally
divorced,adjective,no longer married because your marriage has been legally ended
do,verb,used to refer to actions that you do not mention by name or do not know about
do,auxiliary verb,used before a full verb to form negative sentences and questions
doctor,noun,"a person who has been trained in medical science, whose job is to treat people who are ill or injured"
doctrine,noun,"a belief or set of beliefs held and taught by a Church, a political party, etc."
document,noun,"an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something"
document,verb,"to record something in the form of a written document, photograph, film, etc."
documentary,noun,a film or a radio or television programme giving facts about something
documentation,noun,"the documents that are required for something, or that give evidence or proof of something"
dog,noun,"an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild."
dollar,noun,"the unit of money in the US, Canada, Australia and several other countries"
domain,noun,an area of knowledge or activity; especially one that somebody is responsible for
domestic,adjective,of or inside a particular country; not foreign or international
dominance,noun,"the fact of being more important, powerful or easy to notice than somebody/something else"
dominant,adjective,"more important, powerful or easy to notice than other things"
dominate,verb,"to control or have a lot of influence over somebody/something, especially in an unpleasant way"
donate,verb,"to give money, food, clothes, etc. to somebody/something, especially a charity"
donation,noun,"something that is given to a person or an organization such as a charity, in order to help them; the act of giving something in this way"
donor,noun,"a person or an organization that makes a gift of money, clothes, food, etc. to a charity, etc."
door,noun,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard"
dose,noun,"an amount of a medicine or a drug that is taken once, or regularly over a period of time"
dot,noun,"a small round mark, especially one that is printed"
double,adjective,twice as much or as many as usual
double,adverb,in twos or in two parts
double,determiner,twice as much or as many as
double,pronoun,a number or amount that is twice as much or as many as another number or amount
double,verb,"to become, or make something become, twice as much or as many"
doubt,noun,a feeling of being uncertain about something or not believing something
doubt,verb,"to feel uncertain about something; to feel that something is not true, will probably not happen, etc."
down,adverb,to or at a lower place or position
down,preposition,from a high or higher point on something to a lower one
download,noun,data that is downloaded from another computer system
download,verb,"to get data from another computer, usually using the internet"
downstairs,adjective,"on a floor of a house or building lower than the one you are on, especially the one at ground level"
downstairs,adverb,"down the stairs; on or to a floor of a house or building lower than the one you are on, especially the one at ground level"
downtown,adjective,"in, towards or typical of the centre of a city, especially its main business area"
downtown,adverb,"in or towards the centre of a city, especially its main business area"
downtown,noun,"the centre of a city, especially its main business area"
downwards,adverb,towards the ground; towards a lower place or position
dozen,determiner,a group of twelve of the same thing
dozen,noun,a group of twelve of the same thing
draft,noun,a rough written version of something that is not yet in its final form
draft,verb,"to write the first rough version of something such as a letter, speech, book or law"
drag,verb,to pull somebody/something along with effort and difficulty
drain,verb,to make something empty or dry by removing the liquid from it; to become empty or dry in this way
drama,noun,"a play for the theatre, television or radio"
dramatic,adjective,"sudden, very great and often surprising"
dramatically,adverb,very suddenly and to a very great and often surprising degree
draw,verb,"to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)"
drawing,noun,a picture made using a pencil or pen rather than paint
dream,noun,"a series of images, events and feelings that happen in your mind while you are asleep"
dream,verb,"to experience a series of images, events and feelings in your mind while you are asleep"
dress,noun,"a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles"
dress,verb,to put clothes on yourself/somebody
dressed,adjective,wearing clothes and not naked or wearing clothes for sleeping
drift,verb,to move along smoothly and slowly in water or air
drink,noun,a liquid for drinking; an amount of a liquid that you drink
drink,verb,to take liquid into your mouth and then down your throat into your stomach
drive,noun,a journey in a car or other vehicle
drive,verb,to operate a vehicle so that it goes in a particular direction
driver,noun,a person who drives a vehicle
driving,adjective,strong and powerful; having a strong influence in making something happen
driving,noun,the way that somebody drives a vehicle; the act of driving
drop,noun,a very small amount of liquid that forms a round shape
drop,verb,to allow something to fall by accident; to fall by accident
drought,noun,a long period of time when there is little or no rain
drown,verb,to die because you have been underwater too long and you cannot breathe; to kill somebody by holding them underwater
drug,noun,"an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has"
drum,noun,a musical instrument made of a hollow round frame with plastic or skin stretched tightly across one or both ends. You play it by hitting it with sticks or with your hands.
drunk,adjective,having drunk so much alcohol that it is impossible to think or speak clearly
dry,adjective,not wet or sticky; without water or moisture
dry,verb,to become dry; to make something dry
dual,adjective,having two parts or aspects
dub,verb,"to give somebody/something a particular name, often in a humorous or critical way"
due,adjective,caused by somebody/something; because of somebody/something
dull,adjective,not interesting or exciting
dumb,adjective,stupid
dump,verb,"to get rid of something you do not want, especially in a place that is not suitable"
duo,noun,two people who perform together or are often seen or thought of together
duration,noun,the length of time that something lasts or continues
during,preposition,all through a period of time
dust,noun,"a fine powder that consists of very small pieces of sand, earth, etc."
duty,noun,something that you feel you have to do because it is your moral or legal responsibility
DVD,noun,"a disk on which large amounts of information, especially films, photographs and video, can be stored, for use on a DVD player or computer (the abbreviation for ‘digital versatile disc’ or ‘digital videodisc’) "
dynamic,adjective,having a lot of energy and a strong personality
dynamic,noun,the way in which people or things behave and react to each other in a particular situation
each,adverb,"used to refer to every one of two or more people or things, when you are thinking about them separately"
each,determiner,"used to refer to every one of two or more people or things, when you are thinking about them separately"
each,pronoun,"used to refer to every one of two or more people or things, when you are thinking about them separately"
eager,adjective,very interested and excited by something that is going to happen or about something that you want to do; showing this
ear,noun,either of the organs on the sides of the head that you hear with
early,adjective,"near the beginning of a period of time, an event etc."
early,adverb,"near the beginning of a period of time, an event, a piece of work, etc."
earn,verb,to get money for work that you do
earnings,noun,the money that you earn for the work that you do
earth,noun,the world; the planet that we live on
earthquake,noun,"a sudden, violent shaking of the earth’s surface"
ease,noun,lack of difficulty
ease,verb,"to become less unpleasant, painful or severe; to make something less unpleasant, etc."
easily,adverb,without problems or difficulty
east,adjective,in or towards the east
east,adverb,towards the east
east,noun,the direction that you look towards to see the sun rise; one of the four main points of the compass
eastern,adjective,located in the east or facing east
easy,adjective,not difficult; done or obtained without a lot of effort or problems
eat,verb,"to put food in your mouth, bite it and swallow it "
echo,noun,the reflecting of sound off a wall or inside a particular space so that a noise appears to be repeated; a sound that is reflected back in this way
echo,verb,"if a sound echoes, it is reflected off a wall, the side of a mountain, etc. so that you can hear it again"
ecological,adjective,connected with the relation of plants and living creatures to each other and to their environment
economic,adjective,"connected with the trade, industry and development of wealth of a country, an area or a society"
economics,noun,"the study of how a society organizes its money, trade and industry"
economist,noun,a person who studies or writes about economics
economy,noun,"the relationship between production, trade and the supply of money in a particular country or region"
edge,noun,"the outside limit of an object, a surface or an area; the part furthest from the centre"
edit,verb,"to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc."
edition,noun,"the form in which a book, newspaper, etc. is published"
editor,noun,"a person who is in charge of a newspaper, magazine, etc., or part of one, and who decides what should be included"
editorial,adjective,"connected with the task of preparing something such as a newspaper, a book or a television or radio programme, to be published or broadcast"
educate,verb,"to teach somebody over a period of time at a school, university, etc."
educated,adjective,"having had the kind of education mentioned; having been to the school, college or university mentioned"
education,noun,"a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills"
educational,adjective,connected with education
educator,noun,a person whose job is to teach or educate people
effect,noun,a change that somebody/something causes in somebody/something else; a result
effective,adjective,producing the result that is wanted or intended; producing a successful result
effectively,adverb,in a way that produces the intended result or a successful result
effectiveness,noun,the fact of producing the result that is wanted or intended; the fact of producing a successful result
efficiency,noun,the quality of doing something well with no waste of time or money
efficient,adjective,"doing something in a good, careful and complete way with no waste of time, money or energy"
efficiently,adverb,"in a good and careful way, with no waste of time, money or energy"
effort,noun,an attempt to do something especially when it is difficult to do
egg,noun,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc."
ego,noun,your sense of your own value and importance
eight,number,
eighteen,number,
eighty,number,
either,adverb,used after negative phrases to state that a feeling or situation is similar to one already mentioned
either,determiner,one or the other of two; it does not matter which
either,pronoun,one or the other of two; it does not matter which
elaborate,adjective,very complicated and detailed; carefully prepared and organized
elbow,noun,the joint between the upper and lower parts of the arm where it bends in the middle
elderly,adjective,used as a polite word for ‘old’
elect,verb,to choose somebody to do a particular job by voting for them
election,noun,"the process of choosing a person or a group of people for a position, especially a political position, by voting"
electoral,adjective,connected with elections
electric,adjective,"connected with electricity; using, produced by or producing electricity"
electrical,adjective,connected with electricity; using or producing electricity
electricity,noun,"a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc."
electronic,adjective,"having or using many small parts, such as microchips, that control and direct a small electric current"
electronics,noun,the branch of science and technology that studies electric currents in electronic equipment
elegant,adjective,attractive and showing a good sense of style
element,noun,a necessary or typical part of something; one of several parts that something contains
elementary,adjective,in or connected with the first stages of a course of study
elephant,noun,"a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian."
elevate,verb,"to give somebody/something a higher position or rank, often more important than they deserve "
eleven,number,11
eligible,adjective,"a person who is eligible for something or to do something, is able to have or do it because they have the right qualifications, are the right age, etc."
eliminate,verb,to remove or get rid of something
elite,noun,"a small group of people in a society, etc. who are powerful and have a lot of influence, because they are rich, intelligent, etc."
else,adverb,in addition to something already mentioned
elsewhere,adverb,"in, at or to another place or other places"
email,noun,a way of sending messages and data to other people by means of computers connected together in a network
email,verb,to send a message to somebody by email
embark,verb,to get onto a ship or plane; to put somebody/something onto a ship or plane
embarrassed,adjective,"shy, uncomfortable or ashamed, especially in a social situation"
embarrassing,adjective,"making you feel shy, uncomfortable or ashamed"
embarrassment,noun,"shy, uncomfortable or guilty feelings; a feeling of being embarrassed"
embassy,noun,a group of officials led by an ambassador who represent their government in a foreign country
embed,verb,to fix something in a substance or solid object
embody,verb,to express or represent an idea or a quality
embrace,verb,to put your arms around somebody as a sign of love or friendship
emerge,verb,to move out of or away from something and become possible to see 
emergence,noun,the fact of somebody/something moving out of or away from something and becoming possible to see
emergency,noun,a sudden serious and dangerous event or situation that needs immediate action to deal with it
emission,noun,"the production or sending out of light, heat, gas, etc."
emotion,noun,"a strong feeling such as love, fear or anger; the part of a person’s character that consists of feelings"
emotional,adjective,connected with people’s feelings (= with the emotions)
emotionally,adverb,in a way that is connected with people's feelings (= with the emotions)
emphasis,noun,special importance that is given to something
emphasize,verb,to give special importance to something
empire,noun,a group of countries or states that are controlled by one leader or government
empirical,adjective,based on experiments or experience rather than ideas or theories
employ,verb,to give somebody a job to do for payment
employee,noun,a person who is paid to work for somebody
employer,noun,a person or company that pays people to work for them
employment,noun,"work, especially when it is done to earn money; the state of being employed"
empower,verb,to give somebody the power or authority to do something
empty,adjective,with no people or things inside
empty,verb,"to remove everything that is in a container, etc."
enable,verb,to make it possible for somebody/something to do something
enact,verb,to pass a law
encompass,verb,to include a large number or range of things
encounter,noun,"a meeting, especially one that is sudden, unexpected or violent"
encounter,verb,"to experience something, especially something unpleasant or difficult, while you are trying to do something else"
encourage,verb,"to give somebody support, courage or hope"
encouragement,noun,the act of encouraging somebody to do something; something that encourages somebody
encouraging,adjective,"that gives somebody support, courage or hope"
end,noun,"the final part of a period of time, an event, an activity or a story"
end,verb,to finish; to reach a point and go no further; to make something finish
endeavour,noun,"an attempt to do something, especially something new or difficult"
ending,noun,"the last part of a story, film, etc."
endless,adjective,very large in size or amount and seeming to have no end
endorse,verb,"to say publicly that you support a person, statement or course of action"
endorsement,noun,a public statement or action showing that you support somebody/something
endure,verb,to experience and deal with something that is painful or unpleasant without giving up
enemy,noun,a person who hates somebody or who acts or speaks against somebody/something
energy,noun,"the strength, effort and enthusiasm required for physical or mental activity, work, etc."
enforce,verb,to make sure that people obey a particular law or rule
enforcement,noun,the act of making people obey a particular law or rule
engage,verb,to succeed in attracting and keeping somebody’s attention and interest
engaged,adjective,having agreed to marry somebody
engagement,noun,an agreement to marry somebody; the period during which two people are engaged
engaging,adjective,interesting or pleasant in a way that attracts your attention
engine,noun,the part of a vehicle that produces power to make the vehicle move
engineer,noun,"a person whose job involves designing and building engines, machines, roads, bridges, etc."
engineering,noun,"the activity of applying scientific knowledge to the design, building and control of machines, roads, bridges, electrical equipment, etc."
enhance,verb,"to increase or further improve the good quality, value or status of somebody/something"
enjoy,verb,to get pleasure from something
enjoyable,adjective,giving pleasure
enormous,adjective,extremely large
enough,adverb,to the necessary degree
enough,determiner,used before plural or uncountable nouns to mean ‘as many or as much as somebody needs or wants’
enough,pronoun,as many or as much as somebody needs or wants
enquire,verb,to ask somebody for some information
enquiry,noun,an official process to find out the cause of something or to find out information about something
enrich,verb,"to improve the quality of something, often by adding something to it"
enrol,verb,"to arrange for yourself or for somebody else to officially join a course, school, etc."
ensue,verb,to happen after or as a result of another event
ensure,verb,to make sure that something happens or is definite
enter,verb,to come or go into something
enterprise,noun,a company or business
entertain,verb,to interest somebody or make somebody laugh in order to please them
entertaining,adjective,"that you enjoy watching, listening to, doing or experiencing"
entertainment,noun,"films, music, etc. used to entertain people; an example of this"
enthusiasm,noun,a strong feeling of excitement and interest in something and a desire to become involved in it
enthusiast,noun,a person who is very interested in something and spends a lot of time doing it
enthusiastic,adjective,feeling or showing a lot of excitement and interest about somebody/something
entire,adjective,"including everything, everyone or every part "
entirely,adverb,in every way possible; completely
entitle,verb,to give somebody the right to have or to do something
entity,noun,something that exists separately from other things and has its own identity
entrance,noun,"a door, gate, passage, etc. used for entering a room, building or place"
entrepreneur,noun,"a person who makes money by starting or running businesses, especially when this involves taking financial risks"
entry,noun,an act of going into or getting into a place
envelope,noun,"a flat paper container used for sending letters in, with a part that you stick down to close it"
environment,noun,"the natural world in which people, animals and plants live"
environmental,adjective,"connected with the natural conditions in which people, animals and plants live; connected with the environment"
epidemic,noun,a large number of cases of a particular disease or medical condition happening at the same time in a particular community
episode,noun,one part of a story that is broadcast on television or radio in several parts
equal,adjective,"the same in size, quantity, value, etc. as something else"
equal,noun,"a person or thing of the same quality or with the same status, rights, etc. as another"
equal,verb,"to be the same in size, quantity, value, etc. as something else"
equality,noun,"the fact of being equal in rights, status, advantages, etc."
equally,adverb,to the same degree; in the same or in a similar way
equation,noun,"a statement showing that two amounts or values are equal, for example 2x + y = 54"
equip,verb,to provide yourself/somebody/something with the things that are needed for a particular purpose or activity
equipment,noun,the things that are needed for a particular purpose or activity
equivalent,adjective,"equal in value, amount, meaning, importance, etc."
equivalent,noun,"a thing, amount, word, etc. that is equal in value, meaning or purpose to something else"
era,noun,"a period of time, usually in history, that is different from other periods because of particular characteristics or events"
erect,verb,to build something
error,noun,"a mistake, especially one that causes problems or affects the result of something"
erupt,verb,"when a volcano erupts or burning rocks, smoke, etc. erupt or are erupted, the burning rocks, etc. are thrown out from the volcano"
escalate,verb,"to become greater, worse, more serious, etc.; to make something greater, worse, more serious, etc."
escape,noun,the act or a method of escaping from a place or an unpleasant or dangerous situation
escape,verb,to get away from a place where you have been kept as a prisoner or not allowed to leave
especially,adverb,"more with one person, thing, etc. than with others, or more in particular circumstances than in others "
essay,noun,a short piece of writing by a student as part of a course of study
essence,noun,"the most important quality or feature of something, that makes it what it is"
essential,adjective,completely necessary; extremely important in a particular situation or for a particular activity 
essentially,adverb,"when you think about the true, important or basic nature of somebody/something "
establish,verb,"to start or create an organization, a system, etc. that is meant to last for a long time"
establishment,noun,"an organization, a large institution or a hotel"
estate,noun,an area of land with a lot of houses or factories of the same type on it
estimate,noun,"a judgement that you make without having the exact details or figures about the size, amount, cost, etc. of something"
estimate,verb,"to form an idea of the cost, size, value etc. of something, but without calculating it exactly"
eternal,adjective,without an end; existing or continuing forever
ethic,noun,moral principles that control or influence a person’s behaviour
ethical,adjective,connected with beliefs and principles about what is right and wrong
ethnic,adjective,connected with or belonging to a group of people that share a cultural tradition
euro,noun,the unit of money of some countries of the European Union
evacuate,verb,to move people from a place of danger to a safer place
evaluate,verb,"to form an opinion of the amount, value or quality of something after thinking about it carefully"
evaluation,noun,"the act of forming an opinion of the amount, value or quality of something after thinking about it carefully"
even,adjective,that can be divided exactly by two
even,adverb,used to emphasize something unexpected or surprising
evening,noun,the part of the day between the afternoon and the time you go to bed
event,noun,"a thing that happens, especially something important"
eventually,adverb,at the end of a period of time or a series of events
ever,adverb,"used in negative sentences and questions, or sentences with if to mean ‘at any time’"
every,determiner,used with singular nouns to refer to all the members of a group of things or people
everybody,pronoun,every person; all people
everyday,adjective,used or happening every day or regularly; ordinary
everyone,pronoun,every person; all people
everything,pronoun,all things
everywhere,adverb,"in, to or at every place; all places"
evidence,noun,"the facts, signs or objects that make you believe that something is true"
evident,adjective,clear; easily seen
evil,adjective,enjoying harming others; morally bad and cruel
evil,noun,a force that causes bad things to happen; morally bad behaviour
evoke,verb,"to bring a feeling, a memory or an image into your mind"
evolution,noun,"the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment"
evolutionary,adjective,connected with evolution; connected with slow steady development and change
evolve,verb,"to develop gradually, especially from a simple to a more complicated form; to develop something in this way"
exact,adjective,correct in every detail
exactly,adverb,used to emphasize that something is correct in every way or in every detail
exaggerate,verb,"to make something seem larger, better, worse or more important than it really is"
exam,noun,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
examination,noun,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
examine,verb,"to consider or study an idea, a subject, etc. very carefully"
example,noun,"something such as an object, a fact or a situation that shows, explains or supports what you say"
exceed,verb,to be greater than a particular number or amount
excellence,noun,the quality of being extremely good
excellent,adjective,extremely good
except,conjunction,used before you mention something that makes a statement not completely true
except,preposition,used before you mention the only thing or person about which a statement is not true
exception,noun,a person or thing that is not included in a general statement
exceptional,adjective,unusually good
excess,adjective,"in addition to an amount that is necessary, usual or legal"
excess,noun,"more than is necessary, reasonable or acceptable"
excessive,adjective,greater than what seems reasonable or appropriate
exchange,noun,an act of giving something to somebody or doing something for somebody and receiving something in return
exchange,verb,to give something to somebody and at the same time receive the same type of thing from them
excited,adjective,feeling or showing happiness and enthusiasm
excitement,noun,the state of feeling or showing happiness and enthusiasm
exciting,adjective,causing great interest or excitement
exclude,verb,to deliberately not include something in what you are doing or considering
exclusion,noun,the act of preventing somebody/something from entering a place or taking part in something
exclusive,adjective,only to be used by one particular person or group; only given to one particular person or group
exclusively,adverb,"for only one particular person, group or use"
excuse,noun,"a reason, either true or invented, that you give to explain or defend your behaviour"
excuse,verb,"to forgive somebody for something that they have done, for example not being polite or making a small mistake"
execute,verb,"to kill somebody, especially as a legal punishment"
execution,noun,"the act of killing somebody, especially as a legal punishment"
executive,adjective,"connected with managing a business or an organization, and with making plans and decisions"
executive,noun,a person who has an important job as a manager of a company or an organization
exercise,noun,physical or mental activity that you do to stay healthy or become stronger
exercise,verb,to do sports or other physical activities in order to stay healthy or become stronger; to make an animal do this
exert,verb,to use power or influence to affect somebody/something
exhibit,noun,"an object or a collection of objects put in a public place, for example a museum, so that people can see it"
exhibit,verb,to show something in a public place for people to enjoy or to give them information
exhibition,noun,"a collection of things, for example works of art, that are shown to the public"
exile,noun,"the state of being sent to live in another country that is not your own, especially for political reasons or as a punishment"
exist,verb,to be real; to be present in a place or situation
existence,noun,the state or fact of being real or living or of being present
exit,noun,a way out of a public building or vehicle
exit,verb,"to go out; to leave a building, stage, vehicle, etc."
exotic,adjective,"from or in another country, especially a tropical one; seeming exciting and unusual because it seems to be connected with foreign countries"
