word,type,definition
advice,noun,an opinion or a suggestion about what somebody should do in a particular situation
advise,verb,to tell somebody what you think they should do in a particular situation
advocate,noun,a person who supports or speaks in favour of somebody or of a public plan or action
advocate,verb,to support something publicly
aesthetic,adjective,connected with beauty and art and the understanding of beautiful things
affair,noun,events that are of public interest or political importance
affect,verb,to produce a change in somebody/something
affection,noun,the feeling of liking or loving somebody/something very much and caring about them
afford,verb,to have enough money to be able to buy or do something
affordable,adjective,cheap enough that people can afford to pay it or buy it
afraid,adjective,feeling fear; frightened because you think that you might be hurt or suffer
after,adverb,later in time; afterwards
after,conjunction,at a time later than something; when something has finished
after,preposition,later than something; following something in time
aftermath,noun,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc."
afternoon,noun,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening
afterwards,adverb,at a later time; after an event that has already been mentioned
again,adverb,one more time; on another occasion
against,preposition,opposing or disagreeing with somebody/something
age,noun,the number of years that a person has lived or a thing has existed
age,verb,to become older
aged,adjective,of the age of
agency,noun,a business or an organization that provides a particular service especially when representing other businesses or organizations
agenda,noun,a list of items to be discussed at a meeting
agent,noun,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
aggression,noun,feelings of anger and hate that may result in threatening or violent behaviour
aggressive,adjective,"angry, and behaving in a threatening way; ready to attack"
ago,adverb,used in expressions of time with the simple past tense to show how far in the past something happened
agree,verb,to have the same opinion as somebody; to say that you have the same opinion
agreement,noun,"an arrangement, a promise or a contract made with somebody"
agricultural,adjective,connected with the science or practice of farming
agriculture,noun,the science or practice of farming
ah,exclamation,"used to express surprise, pleasure or sympathy, or when you disagree with somebody"
ahead,adverb,further forward in space or time; in front
aid,noun,"money, food, etc. that is sent to help countries in difficult situations"
aid,verb,"to help somebody/something to do something, especially by making it easier"
aide,noun,"a person who helps another person, especially a politician, in their job"
AIDS,noun,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’)
aim,noun,the purpose of doing something; what somebody is trying to achieve
aim,verb,to try or plan to achieve something
air,noun,the mixture of gases that surrounds the earth and that we breathe
aircraft,noun,any vehicle that can fly and carry goods or passengers
airline,noun,a company that provides regular flights to take passengers and goods to different places
airport,noun,a place where planes land and take off and that has buildings for passengers to wait in
alarm,noun,a loud noise or a signal that warns people of danger or of a problem
alarm,verb,to make somebody anxious or afraid
albeit,conjunction,although
album,noun,"a book in which you keep photographs, stamps, etc."
alcohol,noun,"drinks such as beer, wine, etc. that can make people drunk"
alcoholic,adjective,connected with or containing alcohol
alert,adjective,able to think quickly; quick to notice things
alert,noun,a situation in which people are watching for danger and ready to deal with it
alert,verb,to warn somebody about a dangerous situation or one that requires immediate action
alien,adjective,strange and frightening; different from what you are used to
alien,noun,a person who is not a citizen of the country in which they live or work
align,verb,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line"
alignment,noun,arrangement in a straight line
alike,adjective,very similar
alike,adverb,in a very similar way
alive,adjective,living; not dead
all,adverb,completely
all,determiner,the whole number of
all,pronoun,the whole number or amount
allright,adjective,acceptable; in an acceptable manner
allright,adverb,acceptable; in an acceptable manner
allright,exclamation,used to check that somebody agrees or understands
allegation,noun,"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal"
allege,verb,to state something as a fact but without giving proof
allegedly,adverb,expressed as though something is a fact but without giving any proof
alliance,noun,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
allocate,verb,to give something officially to somebody/something for a particular purpose
allocation,noun,"an amount of money, space, etc. that is given to somebody for a particular purpose"
allow,verb,to let somebody/something do something; to let something happen or be done
allowance,noun,an amount of money that is given to somebody regularly or for a particular purpose
ally,noun,"a country that has agreed to help and support another country, especially in case of a war"
almost,adverb,not quite
alone,adjective,without any other people
alone,adverb,without any other people
along,adverb,forward
along,preposition,from one end to or towards the other end of something
alongside,preposition,next to or at the side of something
already,adverb,before now or before a particular time in the past
also,adverb,in addition; too
alter,verb,to become different; to make somebody/something different
alternative,adjective,that can be used instead of something else
alternative,noun,a thing that you can choose to do or have out of two or more possibilities
although,conjunction,used for introducing a statement that makes the main statement in a sentence seem surprising
altogether,adverb,(used to emphasize something) completely; in every way
aluminium,noun,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc."
always,adverb,at all times; on every occasion
amateur,adjective,"doing something for pleasure or interest, not as a job"
amateur,noun,"a person who takes part in a sport or other activity for pleasure, not as a job"
amazed,adjective,very surprised
amazing,adjective,"very surprising, especially in a way that you like or admire"
ambassador,noun,an official who lives in a foreign country as the senior representative there of their own country
ambition,noun,something that you want to do or achieve very much
ambitious,adjective,"determined to be successful, rich, powerful, etc."
ambulance,noun,"a vehicle with special equipment, used for taking sick or injured people to a hospital"
amend,verb,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it"
amendment,noun,a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law
amid,preposition,"in the middle of or during something, especially something that causes excitement or fear"
among,preposition,surrounded by somebody/something; in the middle of somebody/something
amount,noun,a quantity of something
amount,verb,
amusing,adjective,funny and giving pleasure
analogy,noun,a comparison of one thing with another thing that has similar features; a feature that is similar
analyse,verb,"to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
analysis,noun,the detailed study or examination of something in order to understand more about it; the result of the study
analyst,noun,a person whose job involves examining facts or materials in order to give an opinion on them
ancestor,noun,a person in your family who lived a long time ago
anchor,noun,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place
ancient,adjective,belonging to a period of history that is thousands of years in the past
and,conjunction,also; in addition to
angel,noun,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings."
anger,noun,the strong feeling that you have when something has happened that you think is bad and unfair
angle,noun,"the space between two lines or surfaces that join, measured in degrees"
angry,adjective,having strong feelings about something that you dislike very much or about an unfair situation
animal,noun,"a creature that is not a bird, a fish, a reptile, an insect or a human"
animation,noun,"the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move"
ankle,noun,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint
anniversary,noun,a date that is an exact number of years after the date of an important or special event
announce,verb,"to tell people something officially, especially about a decision, plans, etc."
announcement,noun,a spoken or written statement that informs people about something
annoy,verb,to make somebody slightly angry 
annoyed,adjective,slightly angry
annoying,adjective,making somebody feel slightly angry
annual,adjective,happening or done once every year
annually,adverb,once a year
anonymous,adjective,with a name that is not known or that is not made public
another,determiner,one more; an extra thing or person
another,pronoun,one more; an extra thing or person
answer,noun,"something that you say, write or do to react to a question or situation"
answer,verb,"to say, write or do something as a reaction to a question or situation"
anticipate,verb,to expect something
anxiety,noun,the state of feeling nervous or worried that something bad is going to happen
anxious,adjective,feeling worried or nervous
any,adverb,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’"
any,determiner,"used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small"
any,pronoun,"used in negative sentences and in questions and after if or whether to refer to an amount or a number, however large or small"
anymore,adverb,"often used at the end of negative sentences and at the end of questions, to mean ‘any longer’"
anybody,pronoun,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
anyone,pronoun,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
anything,pronoun,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc."
anyway,adverb,used when adding something to support an idea or argument
anywhere,adverb,used in negative sentences and in questions instead of somewhere
anywhere,pronoun,used in negative sentences and in questions instead of somewhere
apart,adverb,"separated by a distance, of space or time"
apartment,noun,"a set of rooms for living in, usually on one floor of a building"
apologize,verb,to say that you are sorry for doing something wrong or causing a problem
apology,noun,a word or statement saying sorry for something that has been done wrong or that causes a problem
app,noun,"a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game"
apparatus,noun,the tools or other pieces of equipment that are needed for a particular activity or task
apparent,adjective,easy to see or understand
apparently,adverb,according to what you have heard or read; according to the way something appears
appeal,noun,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
appeal,verb,"to make a deeply felt request, especially for something that is needed immediately"
appealing,adjective,attractive or interesting
appear,verb,to start to be seen
appearance,noun,the way that somebody/something looks on the outside; what somebody/something seems to be
appetite,noun,physical desire for food
applaud,verb,to show your approval of somebody/something by clapping your hands (= hitting your open hands together several times)
apple,noun,a round fruit with shiny red or green skin that is fairly hard and white inside
applicable,adjective,that can be said to be true in the case of somebody/something
applicant,noun,"a person who makes a formal request for something (= applies for it), especially for a job, a place at a college or university, etc."
application,noun,"a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
apply,verb,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
appoint,verb,to choose somebody for a job or position of responsibility
appointment,noun,"a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
appreciate,verb,to recognize the good qualities of somebody/something
appreciation,noun,pleasure that you have when you recognize and enjoy the good qualities of somebody/something
approach,noun,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task
approach,verb,to come near to somebody/something in distance or time
appropriate,adjective,"suitable, acceptable or correct for the particular circumstances"
appropriately,adverb,"in a way that is suitable, acceptable or correct for the particular circumstances"
approval,noun,the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something
approve,verb,"to think that somebody/something is good, acceptable or suitable"
approximately,adverb,"used to show that something is almost, but not completely, accurate or correct"
April,noun,"the fourth month of the year, between March and May"
arbitrary,adjective,"not seeming to be based on a reason, system or plan and sometimes seeming unfair"
architect,noun,a person whose job is designing buildings
architectural,adjective,relating to architecture and buildings
architecture,noun,the art and study of designing buildings
archive,noun,"a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored"
area,noun,"part of a place, town, etc., or a region of a country or the world"
arena,noun,a place with a flat open area in the middle and seats around it where people can watch sports and entertainment
arguably,adverb,used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support
argue,verb,to speak angrily to somebody because you disagree with them
argument,noun,"a conversation or discussion in which two or more people disagree, often angrily"
arise,verb,to happen; to start to exist
arm,noun,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands
arm,verb,to provide weapons for yourself/somebody in order to fight a battle or a war
armed,adjective,involving the use of weapons
arms,noun,"weapons, especially as used by the army, navy, etc."
army,noun,a large organized group of soldiers who are trained to fight on land
around,adverb,approximately
around,preposition,surrounding somebody/something; on each side of something
arrange,verb,to plan or organize something in advance
arrangement,noun,a plan or preparation that you make so that something can happen
array,noun,"a group or collection of things or people, often one that is large or impressive"
arrest,noun,the act of arresting somebody
arrest,verb,"if the police arrest somebody, the person is taken to a police station and kept there because the police believe they may be guilty of a crime"
arrival,noun,an act of coming or being brought to a place
arrive,verb,"to get to a place, especially at the end of a journey"
arrow,noun,"a thin stick with a sharp point at one end, which is shot from a bow"
art,noun,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture "
article,noun,"a piece of writing about a particular subject in a newspaper or magazine, on a website, etc."
articulate,verb,to express or explain your thoughts or feelings clearly in words
artificial,adjective,made or produced to copy something natural; not real
artist,noun,"a person who creates works of art, especially paintings or drawings"
artistic,adjective,connected with art or artists
artwork,noun,"pictures and photographs prepared for books, magazines, etc."
as,adverb,"used when you are comparing two people or things, or two situations"
as,conjunction,while something else is happening
as,preposition,used to describe somebody/something appearing to be somebody/something else
ash,noun,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt"
ashamed,adjective,feeling shame or feeling embarrassed about somebody/something or because of something you have done
aside,adverb,to one side; out of the way
ask,verb,"to say or write something in the form of a question, in order to get information"
asleep,adjective,sleeping
aspect,noun,"a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered"
aspiration,noun,a strong desire to have or do something
aspire,verb,to have a strong desire to achieve or to become something
assassination,noun,"the murder of an important or famous person, especially for political reasons"
assault,noun,the crime of attacking somebody physically
assault,verb,"to attack somebody violently, especially when this is a crime"
assemble,verb,to come together as a group; to bring people or things together as a group
assembly,noun,a group of people who have been elected to meet together regularly and make decisions or laws for a particular region or country
assert,verb,to state clearly and definitely that something is true
assertion,noun,a statement saying that you strongly believe something to be true
assess,verb,to make a judgement about the nature or quality of somebody/something
assessment,noun,an opinion or a judgement about somebody/something that has been thought about very carefully
asset,noun,a person or thing that is valuable or useful to somebody/something
assign,verb,"to give somebody something that they can use, or some work or responsibility"
assignment,noun,"a task or piece of work that somebody is given to do, usually as part of their job or studies"
assist,verb,to help somebody to do something
assistance,noun,help or support
assistant,adjective,having a rank below that of a senior person and helping them in their work
assistant,noun,"a person who helps or supports somebody, usually in their job"
associate,verb,to make a connection between people or things in your mind
associated,adjective,"if one thing is associated with another, the two things are connected because they happen together or one thing causes the other"
association,noun,an official group of people who have joined together for a particular purpose
assume,verb,to think or accept that something is true but without having proof of it
assumption,noun,"a belief or feeling that something is true or that something will happen, although there is no proof"
assurance,noun,"a statement that something will certainly be true or will certainly happen, particularly when there has been doubt about it"
assure,verb,"to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it"
astonishing,adjective,very surprising; difficult to believe
asylum,noun,"protection that a government gives to people who have left their own country, usually because they were in danger for political reasons"
at,preposition,used to say where something/somebody is or where something happens
athlete,noun,a person who competes in sports
atmosphere,noun,the mixture of gases that surrounds the earth
atrocity,noun,"a cruel and violent act, especially in a war"
attach,verb,to fasten or join one thing to another
attachment,noun,a document that you send to somebody using email
attack,noun,an act of using violence to try to hurt or kill somebody
attack,verb,to use violence to try to hurt or kill somebody
attain,verb,"to succeed in getting something, usually after a lot of effort"
attempt,noun,"an act of trying to do something, especially something difficult, often with no success"
attempt,verb,"to make an effort or try to do something, especially something difficult"
attend,verb,to be present at an event
attendance,noun,"the act of being present at a place, for example at school"
attention,exclamation,used for asking people to listen to something that is being announced
attention,noun,"the act of listening to, looking at or thinking about something/somebody carefully; interest that people show in somebody/something"
attitude,noun,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel
attorney,noun,"a lawyer, especially one who can act for somebody in court"
attract,verb,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them"
attraction,noun,an interesting or lively place to go or thing to do
attractive,adjective,"pleasant to look at, especially in a sexual way"
attribute,noun,a quality or feature of somebody/something
attribute,verb,to say or believe that something is the result of a particular thing
auction,noun,a public sale in which things are sold to the person who offers the most money for them
audience,noun,"the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.)"
audio,adjective,connected with sound that is recorded
audit,noun,an official examination of business and financial records to see that they are true and correct
August,noun,"the 8th month of the year, between July and September"
aunt,noun,the sister of your father or mother; the wife of your uncle or aunt
authentic,adjective,known to be real and what somebody claims it is and not a copy
author,noun,a person who writes books or the person who wrote a particular book
authority,noun,the power to give orders to people
authorize,verb,"to give official permission for something, or for somebody to do something"
auto,noun,a car
automatic,adjective,having controls that work without needing a person to operate them
automatically,adverb,without needing a person to operate controls
autonomy,noun,"the freedom for a country, a region or an organization to govern itself independently"
autumn,noun,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder"
availability,noun,"the fact that something is possible to get, buy or find"
available,adjective,"that you can get, buy or find"
average,adjective,"calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts"
average,noun,"the result of adding several amounts together, finding a total, and dividing the total by the number of amounts"
average,verb,to be equal to a particular amount as an average
avoid,verb,to prevent something bad from happening
await,verb,to wait for somebody/something
award,noun,"a prize such as money, etc. for something that somebody has done"
award,verb,"to make an official decision to give something to somebody as a payment, prize, contract, etc."
aware,adjective,knowing or realizing something
awareness,noun,knowing something; knowing that something exists and is important
away,adverb,to or at a distance from somebody/something in space or time
awful,adjective,very bad or unpleasant
awkward,adjective,making you feel embarrassed
baby,noun,a very young child or animal
back,adjective,located behind or at the back of something
back,adverb,"to or into the place, condition, situation or activity where somebody/something was before"
back,noun,"the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this"
back,verb,to encourage somebody or give them help; to give financial support to somebody/something
backdrop,noun,everything that can be seen around an event or scene
background,noun,"the details of a person’s family, education, experience, etc."
backing,noun,help and support from somebody to do something; financial support for something
backup,noun,extra help or support that you can get if necessary
backwards,adverb,towards a place or position that is behind
bacteria,noun,"the simplest and smallest forms of life. Bacteria exist in large numbers in air, water and soil, and also in living and dead creatures and plants, and are often a cause of disease."
bad,adjective,unpleasant; full of problems
badge,noun,"a small piece of metal or plastic, with a design or words on it, that a person wears or carries to show that they belong to an organization, support something, have achieved something, have a particular rank, etc."
badly,adverb,without skill or care
bag,noun,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling"
bail,noun,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial."
bake,verb,to cook food in an oven without extra fat or liquid; to be cooked in this way
balance,noun,"a situation in which different things exist in equal, correct or good amounts"
balance,verb,to put your body or something else into a position where it is steady and does not fall
balanced,adjective,keeping or showing a balance so that different things or different parts of something exist in equal or correct amounts
ball,noun,"a round object used for throwing, hitting or kicking in games and sports"
ballet,noun,a style of dancing that tells a dramatic story with music but no talking or singing
balloon,noun,a small bag made of very thin rubber that becomes larger and rounder when you fill it with air or gas. Balloons are brightly coloured and used as decorations or toys.
ballot,noun,the system of voting in writing and usually in secret; an occasion on which a vote is held
ban,noun,an official rule that says that something is not allowed
ban,verb,to decide or say officially that something is not allowed
banana,noun,"a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries"
band,noun,"a small group of musicians who play popular music together, often with a singer or singers"
bank,noun,"an organization that provides various financial services, for example keeping or lending money"
banner,noun,a long piece of cloth with a message on it that is carried between two poles or hung in a public place to show support for something
bar,noun,a place where you can buy and drink alcoholic and other drinks
bar,verb,to ban or prevent somebody from doing something
bare,adjective,not covered by any clothes
barely,adverb,in a way that is just possible but only with difficulty
bargain,noun,a thing bought for less than the usual price
barrel,noun,"a large round container, usually made of wood or metal, with flat ends and, usually, curved sides"
barrier,noun,an object like a fence that prevents people from moving forward from one place to another
base,noun,"the lowest part of something, especially the part or surface on which it rests or stands"
base,verb,"to use a particular city, town, etc. as the main place for a business, holiday, etc."
baseball,noun,"a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball."
based,adjective,"if one thing is based on another, it uses it or is developed from it"
basement,noun,"a room or rooms in a building, partly or completely below the level of the ground"
basic,adjective,forming the part of something that is most necessary and from which other things develop
basically,adverb,"in the most important ways, without considering things that are less important"
basis,noun,the way things are organized or arranged; how often something happens
basket,noun,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker."
basketball,noun,"a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring"
bass,noun,"the lowest tone or part in music, for instruments or voices"
bat,noun,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis"
bat,verb,"to hit a ball with a bat, especially in a game of baseball or cricket"
bath,noun,"a large, long container that you put water in and then get into to wash your whole body"
bathroom,noun,"a room in which there is a bath, a washbasin and often a toilet"
battery,noun,"a device that is placed inside a car engine, clock, radio, etc. and that produces the electricity that makes it work"
battle,noun,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people"
battle,verb,to try very hard to achieve something difficult or to deal with something unpleasant or dangerous
battlefield,noun,a place where a battle is being fought or has been fought
bay,noun,"a part of the sea, or of a large lake, partly surrounded by a wide curve of the land"
be,verb,"used when you are naming people or things, describing them or giving more information about them"
be,auxiliary verb,used with a present participle to form progressive tenses
beach,noun,"an area of sand or small stones (called shingle), next to the sea or a lake"
beam,noun,"a line of light, electromagnetic waves or particles"
bean,noun,"a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans."
bear,noun,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear.
bear,verb,to be able to accept and deal with something unpleasant
beast,noun,"an animal, especially one that is large or dangerous, or one that is unusual"
beat,noun,"a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes"
beat,verb,to defeat somebody in a game or competition
beautiful,adjective,having beauty; giving pleasure to the senses or to the mind
beauty,noun,the quality of giving pleasure to the senses or to the mind
because,conjunction,for the reason that
become,verb,to start to be something
bed,noun,a piece of furniture for sleeping on
bedroom,noun,a room for sleeping in
bee,noun,a black and yellow flying insect that can sting (= touch your skin and make you feel a sharp pain).Bees live in large groups and make honey (= a sweet sticky substance that is good to eat).
beef,noun,meat that comes from a cow
beer,noun,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.
before,adverb,at an earlier time; in the past; already
before,conjunction,earlier than the time when
before,preposition,earlier than somebody/something
beg,verb,to ask somebody for something especially in an anxious way because you want or need it very much
begin,verb,to start doing something; to do the first part of something
beginning,noun,"the time when something starts; the first part of an event, a story, etc."
behalf,noun,in order to help somebody
behave,verb,to do things in a particular way
behaviour,noun,"the way that somebody behaves, especially towards other people"
behind,adverb,at or towards the back of somebody/something; further back
behind,preposition,"at or towards the back of somebody/something, and often hidden by it or them"
being,noun,existence
belief,noun,a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right
believe,verb,to feel certain that something is true or that somebody is telling you the truth
